0,Sun 11:30:00 AM,Preshow,The Best,,0:30:00
1,Sun 12:00:00 PM,Hollow Knight,True Ending No Major Glitches,Vysuals,1:35:00
2,Sun 01:45:00 PM,Kirby & The Amazing Mirror,any%,swordsmankirby,0:32:00
3,Sun 02:37:00 PM,Donkey Kong Country,Any% All Stages,"V0oid, Fathlo23, stew_",0:37:00
4,Sun 03:24:00 PM,Mario Kart DS,32 Tracks,Keverage,1:05:00
5,Sun 04:44:00 PM,Serious Sam Classic: The First Encounter,Any% Co-op Normal,"mr.deagle, The Master",0:33:00
6,Sun 05:27:00 PM,Mega Man Zero 2,Hard mode any%,Krankdud,1:10:00
7,Sun 06:47:00 PM,The Legend of Zelda: Majora's Mask,Any%,popesquidward,1:25:00
8,Sun 08:27:00 PM,Portal,Inbounds,"alexh0we, ConnorAce",0:15:00
9,Sun 08:52:00 PM,Metal Gear Solid 2: Sons of Liberty,European Extreme,Tyler2022,1:35:00
10,Sun 10:37:00 PM,Shadow of the Colossus (2018),Boss Rush (NTA),ChurchNEOH,0:50:00
11,Sun 11:37:00 PM,God of War II,Any% NG+,RagnellGoW,1:10:00
12,Mon 12:57:00 AM,Bomberman 64,any%,Puncayshun,0:30:00
13,Mon 01:37:00 AM,Fe,All Songs,CorundumCore,1:00:00
14,Mon 02:47:00 AM,Spike Hike,95%,SecksWrecks,0:05:00
15,Mon 03:02:00 AM,Cat Bird,Any% all worlds,MrUppercaseT,0:28:00
16,Mon 03:40:00 AM,CometStriker,Arcade - Hard,MrCab,0:35:00
17,Mon 04:25:00 AM,Khimera: Destroy All Monster Girls,Race Mode,snapcase,0:20:00
18,Mon 04:55:00 AM,Another World: 20th Anniversary Edition,Any% Glitchless,Brandooates,0:15:00
19,Mon 05:20:00 AM,Slipstream,Ruby Cup,Konasumi,0:25:00
20,Mon 05:55:00 AM,Monster World IV,any% w/ Magic Merchant,Cyclone,1:10:00
21,Mon 07:15:00 AM,Mega Turrican,Any% Normal,d4gr0n,0:20:00
22,Mon 07:45:00 AM,Ecco: The Tides of Time,Any%,chronoon,0:40:00
23,Mon 08:35:00 AM,Vectorman,Any%,chronoon,0:17:00
24,Mon 09:02:00 AM,Generations Lost,Any%,Nubzombie,0:13:00
25,Mon 09:25:00 AM,Bloody Wolf,Any%,RottDawg,0:20:00
26,Mon 09:55:00 AM,Pocky & Rocky,Any% Normal,d4gr0n,0:25:00
27,Mon 10:30:00 AM,Super Ghouls 'N Ghosts',any% (Normal),NME,0:40:00
28,Mon 11:20:00 AM,ActRaiser 2,Hard difficulty,PJ,0:50:00
29,Mon 12:20:00 PM,Castlevania Symphony of the Night,Alucard,Satoryu,0:16:00
30,Mon 12:46:00 PM,Castlevania: Aria of Sorrow,Glitchless Hard Mode,VB__,0:58:00
31,Mon 01:54:00 PM,Castlevania Chronicles,any% arranged mode x68k sound on,lurk,0:35:00
32,Mon 02:39:00 PM,Castlevania II: Simon's Quest,Any%,jc583,0:40:00
33,Mon 03:29:00 PM,SETUP BLOCK 1,Setup%,Tech Crew,0:33:00
34,Mon 04:12:00 PM,Bloodstained: Curse of the Moon,any% Normal/Veteran,Laxxus,0:33:00
35,Mon 05:05:00 PM,Donkey Kong Country: Tropical Freeze,Any% No Death Abuse,"Kruncha, michael_goldfish, spikevegeta2",1:30:00
36,Mon 06:45:00 PM,Jak 3,Any% No OoB,ThaRixer,0:45:00
37,Mon 07:40:00 PM,Crash Bandicoot: N. Sane Trilogy,Crash 2 100%,Blunts Moses,1:45:00
38,Mon 09:25:00 PM,Splatoon 2: Octo Expansion,Any%,TonesBalones,1:25:00
39,Mon 11:10:00 PM,Resident Evil,Any%,RawDerps,0:45:00
40,Tue 12:05:00 AM,Silent Hill 2,New Game,Punchy,0:55:00
41,Tue 01:10:00 AM,Tomb Raider II,Any% Glitches,SmoothOperative,1:13:30
42,Tue 02:33:00 AM,Tomb Raider : The Angel of Darkness,Any%,PlasticRainbow,0:30:00
43,Tue 03:13:00 AM,NieR: Automata,[E] Ending (Normal),Fullest,4:35:00
44,Tue 07:58:00 AM,The Battle of Olympus,any%,Karma,0:40:00
45,Tue 08:48:00 AM,Jackal,Any% 2 Player,"Toad22484, RottDawg",0:12:00
46,Tue 09:10:00 AM,Vice: Project Doom,any%,garadas21,0:16:00
47,Tue 09:36:00 AM,Chip 'n Dale: Rescue Rangers 2',any% 1 player 2 controllers,"swordsmankirby, garadas21",0:15:00
48,Tue 10:06:00 AM,Yume Kojo: Doki Doki Panic!,All Levels,LackAttack24,0:40:00
49,Tue 10:56:00 AM,Rayman 2: The Great Escape,Any% No Cutscenes,Glackum,1:35:00
50,Tue 12:41:00 PM,Bastion,All Story Levels (New Game),Primorix,0:50:00
51,Tue 01:41:00 PM,Freedom Planet,Carol Any% Classic Mode,Revolucion,0:50:00
52,Tue 02:41:00 PM,Sonic Forces,Any%,thebluemania,0:50:00
53,Tue 04:06:00 PM,SETUP BLOCK 2,Setup%,Tech Crew,0:50:00
54,Tue 05:06:00 PM,Sanic Ball,Current Version - All Levels - 2 Laps,Gyoo,0:20:00
55,Tue 05:36:00 PM,Sonic The Hedgehog 1,Any% Glitched,Dr.Fatbody,0:20:00
